,precision,recall,f1-score,support,iou
Background,0.7937736761981189,0.6939664066691429,0.7405221814258427,96924.0,0.5879596849622297
Meadow,0.5965601897826327,0.7956916058058463,0.6818851832291527,54359.0,0.5173185025714009
Soft Winter Wheat,0.7443426560698901,0.6933988922798688,0.7179682242443749,35388.0,0.5600237356215629
Corn,0.6862433862433862,0.6994131641554322,0.6927656900479146,31525.0,0.5299476037108759
Winter Barley,0.6663913267940114,0.5478777589134126,0.6013510365711624,11780.0,0.4299513689957831
Winter Rapeseed,0.8390556783269552,0.8983725761772853,0.8677015690755553,17328.0,0.7663187949193825
Spring Barley,0.0,0.0,0.0,153.0,0.0
Sunflower,1.0,0.026657313223430377,0.05193030406559617,2851.0,0.026657313223336875
Winter Triticale,0.0,0.0,0.0,1612.0,0.0
Winter Durum Wheat,0.0,0.0,0.0,306.0,0.0
Fruits/Vegetables/Flowers,0.0,0.0,0.0,2643.0,0.0
Leguminous Fodder,0.0,0.0,0.0,1778.0,0.0
Soybeans,0.5289681350514435,0.7659097483367081,0.6257607090103398,13828.0,0.45535061696527995
Mixed Cereal,0.0,0.0,0.0,674.0,0.0
Sorghum,0.0,0.0,0.0,665.0,0.0
accuracy,0.6982348223417484,0.6982348223417484,0.6982348223417484,0.6982348223417484,0.6982348223417484
macro avg,0.39035566989776255,0.3414191643707418,0.33199232651132926,271814.0,
weighted avg,0.6986158689681875,0.6982348223417484,0.6880013055502212,271814.0,
